"id","port_number","transport_protocol","service_name","description","registration_date","modification_date","reference","assignment_notes","traffic"
"311",185,"tcp","remote-kis","Remote-KIS",,,,,4.55964076316796e-09
"312",185,"udp","remote-kis","Remote-KIS",,,,,3.99487368251839e-11
"313",186,"tcp","kis","KIS Protocol",,,,,4.5793695450837e-10
"314",186,"udp","kis","KIS Protocol",,,,,9.6548238138572e-10
"315",187,"tcp","aci","Application Communication Interface",,,,,5.77619440652672e-10
"316",187,"udp","aci","Application Communication Interface",,,,,4.25683261252045e-12
"317",188,"tcp","mumps","Plus Five's MUMPS",,,,,5.41927536440007e-10
"318",188,"udp","mumps","Plus Five's MUMPS",,,,,3.38663779192191e-10
"319",189,"tcp","qft","Queued File Transport",,,,,1.21909137049314e-09
"320",189,"udp","qft","Queued File Transport",,,,,2.7178238987626e-11
"321",190,"tcp","gacp","Gateway Access Control Protocol",,,,,4.79057393239717e-10
"322",190,"udp","gacp","Gateway Access Control Protocol",,,,,1.62087087938245e-11
"323",191,"tcp","prospero","Prospero Directory Service",,,,,6.0987313390907e-10
"324",191,"udp","prospero","Prospero Directory Service",,,,,6.20924526268496e-10
"325",192,"tcp","osu-nms","OSU Network Monitoring System",,,,,8.55295906453955e-10
"326",192,"udp","osu-nms","OSU Network Monitoring System",,,,,5.33986906374345e-10
"327",193,"tcp","srmp","Spider Remote Monitoring Protocol",,,,,1.30308195242478e-09
"328",193,"udp","srmp","Spider Remote Monitoring Protocol",,,,,6.0070457135903e-10
"329",194,"tcp","irc","Internet Relay Chat Protocol",,,,,8.43671478935151e-10
"330",194,"udp","irc","Internet Relay Chat Protocol",,,,,1.02491431362976e-10
"331",195,"tcp","dn6-nlm-aud","DNSIX Network Level Module Audit",,,,,1.56074311873066e-08
"332",195,"udp","dn6-nlm-aud","DNSIX Network Level Module Audit",,,,,3.37190260210941e-10
"333",196,"tcp","dn6-smm-red","DNSIX Session Mgt Module Audit Redir",,,,,1.06813753707994e-09
"334",196,"udp","dn6-smm-red","DNSIX Session Mgt Module Audit Redir",,,,,1.04521613070483e-09
